file,emotions,objects,colors,depths
Mannerism_Late_Renaissance/giorgio-vasari_st-francis-receiving-the-stigmata-1548.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.29), awe (probability: 0.26).",there is a robe in the right,"The main colors are: black, dimgray, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.23 (with moderate variation, std ≈ 0.13).
Most pixels fall into the **near** depth band (80.9% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 80.9% of pixels
  • Mid [0.33–0.67]: 18.5% of pixels
  • Far [0.67–1.00]: 0.6% of pixels"
Post_Impressionism/edouard-cortes_boulevard-des-italians.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.30), awe (probability: 0.29).",there is a person in the bottom. there is a stroll in the bottom left. there is a person in the bottom. there is a umbrella in the center. there is a street pavement road in the bottom left. there is a stroll in the bottom. there is a city oil street scene in the center. there is a pavement road in the bottom,"The main colors are: dimgray, darkslategray, rosybrown","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.40 (with moderate variation, std ≈ 0.21).
Most pixels fall into the **mid** depth band (43.8% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 43.2% of pixels
  • Mid [0.33–0.67]: 43.8% of pixels
  • Far [0.67–1.00]: 13.1% of pixels"
Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-side-2-1885.jpg,"The viewer is likely to associate the following emotions with the image: sadness (probability: 0.45), contentment (probability: 0.21).",there is a woman in the top right,"The main colors are: silver, darkslategray, gray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.61 (with moderate variation, std ≈ 0.23).
Most pixels fall into the **far** depth band (59.5% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 16.9% of pixels
  • Mid [0.33–0.67]: 23.5% of pixels
  • Far [0.67–1.00]: 59.5% of pixels"
Post_Impressionism/maurice-prendergast_new-england-harbour.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.43), excitement (probability: 0.23).",there is a painter in the bottom right. there is a house exterior in the center. there is a painter in the bottom. there is a person in the bottom. there is a painter in the bottom left,"The main colors are: dimgray, darkgray, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.47 (with moderate variation, std ≈ 0.26).
Most pixels fall into the **mid** depth band (37.2% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 35.9% of pixels
  • Mid [0.33–0.67]: 37.2% of pixels
  • Far [0.67–1.00]: 26.6% of pixels"
Romanticism/gustave-dore_the-daughter-of-herod-head-of-john-the-baptist.jpg,"The viewer is likely to associate the following emotions with the image: sadness (probability: 0.26), awe (probability: 0.20).",there is a woman in the center. there is a man in the right. there is a food in the top right. there is a illustration in the center. there is a person in the top left. there is a person in the top right,"The main colors are: black, dimgray, gainsboro","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.33 (with moderate variation, std ≈ 0.30).
Most pixels fall into the **near** depth band (60.7% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 60.7% of pixels
  • Mid [0.33–0.67]: 24.1% of pixels
  • Far [0.67–1.00]: 7.6% of pixels"
Ukiyo_e/utagawa-kuniyoshi_keyamura-rokusuke-under-the-hikosan-gongen-waterfall.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.26), awe (probability: 0.22).",there is a art in the center. there is a woman in the center. there is a illustration in the top right,"The main colors are: dimgray, tan, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.39 (with moderate variation, std ≈ 0.28).
Most pixels fall into the **near** depth band (50.0% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 50.0% of pixels
  • Mid [0.33–0.67]: 30.0% of pixels
  • Far [0.67–1.00]: 18.9% of pixels"
Post_Impressionism/pyotr-konchalovsky_novgorod-peter-and-paul-church-1925.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.46), awe (probability: 0.21).",there is a chapel in the left. there is a tree in the center. there is a spire in the top,"The main colors are: silver, darkslategray, dimgray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.46 (with moderate variation, std ≈ 0.30).
Most pixels fall into the **near** depth band (44.7% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 44.7% of pixels
  • Mid [0.33–0.67]: 20.6% of pixels
  • Far [0.67–1.00]: 34.1% of pixels"
Cubism/rufino-tamayo_the-woman-with-red-mask-1940.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.27), sadness (probability: 0.12).",there is a guitar in the center. there is a art in the center. there is a mouth organ in the top right,"The main colors are: black, saddlebrown, indianred","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.24 (with moderate variation, std ≈ 0.23).
Most pixels fall into the **near** depth band (77.2% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 77.2% of pixels
  • Mid [0.33–0.67]: 14.9% of pixels
  • Far [0.67–1.00]: 7.5% of pixels"
Pop_Art/erro_the-final-selection-1961.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.25), something else (probability: 0.17).",there is a art in the top. there is a animal in the right,"The main colors are: darkgray, darkslategray, dimgray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.45 (with moderate variation, std ≈ 0.21).
Most pixels fall into the **mid** depth band (46.2% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 32.8% of pixels
  • Mid [0.33–0.67]: 46.2% of pixels
  • Far [0.67–1.00]: 21.1% of pixels"
Pop_Art/george-segal_blue-girl-on-park-bench-1980.jpg,"The viewer is likely to associate the following emotions with the image: something else (probability: 0.24), contentment (probability: 0.17).",there is a bench in the bottom. there is a bag in the bottom left. there is a man in the left. there is a raincoat in the left,"The main colors are: snow, darkgray, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.77 (with moderate variation, std ≈ 0.34).
Most pixels fall into the **near** depth band (21.5% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 21.5% of pixels
  • Mid [0.33–0.67]: 9.7% of pixels
  • Far [0.67–1.00]: 10.9% of pixels"
